tempo,axmpu,aympu,azmpu,gxmpu,gympu,gzmpu,mxmpu,mympu,mzmpu,axlsm,aylsm,azlsm,gxlsm,gylsm,gzlsm,mxlsm,mylsm,mzlsm,roll,pitch,yaw,temperatura_baro,pressao_baro,temperatura_pitot,pressao_pitot,RPI3 V,SERVO V,PWR V,PWR A,ADC2,ADC3,Longitude,Latitude,height_msl,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1.806688,-0.22,-0.08,10.08,0.04,-0.00,0.01,40.92,11.64,-22.85,0.02,-0.02,9.66,-0.03,-0.11,0.00,26.80,-31.90,-10.79,-0.26,0.97,0.02,34.73,953.29,23.86,-5.05,5043.00,33.00,0.00,26.00,20.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.838506,-0.18,-0.02,10.04,0.04,0.00,0.01,40.92,11.64,-22.85,0.01,-0.01,9.66,-0.03,-0.12,0.01,27.84,-31.03,-10.67,-0.26,0.98,0.02,34.73,953.29,23.77,-5.05,5040.00,33.00,0.00,28.00,18.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.872177,-0.22,-0.06,10.02,0.04,0.00,0.01,40.92,11.64,-22.85,0.05,-0.07,9.67,-0.03,-0.12,0.01,26.56,-31.38,-10.79,-0.26,0.99,0.02,34.73,953.29,23.77,-5.05,5031.00,33.00,0.00,28.00,20.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.906205,-0.23,-0.06,10.00,0.04,0.00,0.01,40.92,11.64,-22.85,0.03,-0.04,9.66,-0.03,-0.11,0.00,26.22,-31.78,-10.44,-0.27,0.99,0.02,34.73,953.29,23.77,0.00,5028.00,33.00,0.00,30.00,20.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.941039,-0.23,0.01,9.92,0.04,0.00,0.01,40.92,11.64,-22.85,-0.01,-0.03,9.66,-0.04,-0.11,0.00,26.80,-31.09,-11.08,-0.27,1.00,0.02,34.73,953.29,23.86,-5.05,5031.00,33.00,0.00,30.00,20.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
1.973788,-0.23,-0.06,9.86,0.04,0.00,0.01,40.92,11.64,-22.85,0.03,-0.01,9.69,-0.02,-0.11,0.00,26.91,-30.68,-11.43,-0.27,1.00,0.02,34.73,953.29,23.86,-5.05,5037.00,33.00,0.00,32.00,18.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.006753,-0.24,-0.00,9.95,0.04,-0.00,0.01,40.92,11.64,-22.85,0.02,-0.01,9.71,-0.03,-0.11,0.01,26.51,-31.09,-10.15,-0.28,1.01,0.02,34.73,953.29,23.86,-5.05,5037.00,33.00,0.00,32.00,18.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.041618,-0.30,-0.01,10.16,0.04,-0.00,0.01,40.92,11.64,-22.85,0.01,-0.02,9.68,-0.03,-0.10,0.01,26.16,-31.49,-10.32,-0.28,1.01,0.02,34.73,953.29,23.77,-5.05,5037.00,33.00,0.00,32.00,16.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.074420,-0.23,-0.02,10.06,0.04,-0.00,0.01,40.92,11.64,-22.85,0.01,-0.02,9.69,-0.03,-0.11,0.00,25.87,-31.26,-10.73,-0.28,1.02,0.02,34.73,953.29,23.77,0.00,5037.00,33.00,0.00,30.00,18.00,22.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.107066,-0.34,-0.11,10.02,0.04,-0.00,0.01,40.92,11.64,-22.85,-0.03,-0.04,9.64,-0.02,-0.11,0.01,26.39,-31.32,-10.73,-0.28,1.02,0.02,34.73,953.29,23.77,0.00,5034.00,33.00,0.00,30.00,18.00,20.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.140583,-0.23,-0.02,10.07,0.04,0.00,0.01,40.92,11.64,-22.85,0.01,-0.03,9.66,-0.03,-0.11,0.01,27.26,-31.15,-10.85,-0.28,1.03,0.02,34.73,953.29,23.77,0.00,5028.00,33.00,0.00,28.00,18.00,20.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.173862,-0.21,-0.03,10.07,0.04,-0.00,0.02,40.92,11.64,-22.85,0.02,-0.04,9.70,-0.03,-0.11,0.01,26.80,-30.80,-11.66,-0.28,1.03,0.02,34.73,953.29,23.77,-9.26,5025.00,33.00,0.00,28.00,16.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.207493,-0.15,-0.11,10.03,0.04,-0.00,0.01,40.92,11.64,-22.85,0.06,-0.02,9.64,-0.03,-0.11,0.01,26.51,-30.97,-11.14,-0.29,1.03,0.02,34.73,953.29,23.77,-9.26,5028.00,33.00,0.00,28.00,16.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.240403,-0.23,-0.02,9.90,0.04,-0.00,0.01,40.92,11.64,-22.85,0.02,-0.04,9.61,-0.03,-0.11,0.00,26.74,-31.15,-9.86,-0.29,1.03,0.02,34.66,953.32,23.77,-9.26,5037.00,44.00,0.00,28.00,18.00,26.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.276094,-0.15,-0.00,10.02,0.04,0.00,0.01,40.92,11.64,-22.85,0.02,-0.01,9.66,-0.03,-0.11,0.01,26.56,-31.09,-11.43,-0.29,1.04,0.02,34.66,953.32,23.77,0.00,5034.00,33.00,0.00,28.00,22.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.308756,-0.14,-0.06,9.91,0.04,0.01,0.01,40.39,10.05,-22.68,0.04,-0.01,9.74,-0.03,-0.10,0.00,26.62,-31.55,-11.25,-0.28,1.05,0.03,34.66,953.32,23.77,0.00,5031.00,33.00,0.00,28.00,24.00,26.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.341595,-0.16,0.03,10.06,0.04,0.00,0.01,40.39,10.05,-22.68,-0.04,-0.05,9.72,-0.03,-0.11,0.00,26.80,-32.02,-11.19,-0.28,1.06,0.03,34.66,953.32,23.77,-5.05,5031.00,33.00,0.00,26.00,24.00,24.00,-45.92980576,-23.24733734,618.43,0,0,0,0,0,0,0,0,
2.374557,-0.20,-0.10,9.88,0.04,-0.00,0.01,40.39,10.05,-22.68,0.02,-0.03,9.64,-0.03,-0.11,0.00,26.74,-31.55,-10.73,-0.28,1.06,0.03,34.66,953.32,23.77,0.00,5034.00,33.00,0.00,28.00,22.00,24.00,-45.92980576,-23.24733734,618.42,0,0,0,0,0,0,0,0,
2.409486,-0.16,-0.01,9.98,0.04,0.00,0.01,40.39,10.05,-22.68,0.04,-0.05,9.67,-0.03,-0.11,0.01,26.91,-30.86,-10.96,-0.28,1.07,0.03,34.66,953.32,23.77,0.00,5034.00,33.00,0.00,30.00,20.00,24.00,-45.92980576,-23.24733734,618.42,0,0,0,0,0,0,0,0,
2.442368,-0.18,0.01,9.92,0.04,0.00,0.01,40.56,10.23,-23.19,0.01,-0.05,9.71,-0.03,-0.11,0.01,25.81,-31.49,-11.60,-0.28,1.07,0.03,34.66,953.32,23.86,0.00,5034.00,33.00,0.00,28.00,16.00,26.00,-45.92980576,-23.24733734,618.42,0,0,0,0,0,0,0,0,
2.475310,-0.20,-0.07,9.85,0.03,-0.00,0.01,40.56,10.23,-23.19,0.09,-0.04,9.67,-0.03,-0.11,0.00,26.33,-31.55,-11.60,-0.29,1.07,0.03,34.66,953.32,23.86,-5.05,5040.00,33.00,0.00,28.00,14.00,26.00,-45.92980576,-23.24733734,618.42,0,0,0,0,0,0,0,0,
2.510211,-0.21,-0.09,10.08,0.04,-0.00,0.01,40.56,10.23,-23.19,0.03,-0.04,9.61,-0.03,-0.11,0.01,26.56,-32.13,-11.19,-0.29,1.07,0.03,34.66,953.32,23.86,-5.05,5043.00,33.00,0.00,30.00,16.00,24.00,-45.92980576,-23.24733734,618.42,0,0,0,0,0,0,0,0,
