tempo,axmpu,aympu,azmpu,gxmpu,gympu,gzmpu,mxmpu,mympu,mzmpu,axlsm,aylsm,azlsm,gxlsm,gylsm,gzlsm,mxlsm,mylsm,mzlsm,roll,pitch,yaw,temperatura_baro,pressao_baro,temperatura_pitot,pressao_pitot,RPI3 V,SERVO V,PWR V,PWR A,ADC2,ADC3,Longitude,Latitude,height_msl,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1.370736,-0.10,-0.09,9.96,0.04,0.00,0.02,38.98,11.82,-22.68,0.03,-0.07,9.66,-0.03,-0.11,0.01,26.91,-31.44,-11.43,-0.30,0.66,-0.01,33.62,953.21,24.06,0.00,5028.00,33.00,0.00,26.00,24.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.405123,-0.13,-0.08,9.91,0.04,0.00,0.01,38.98,11.82,-22.68,0.02,-0.04,9.66,-0.03,-0.10,0.00,27.09,-31.44,-10.96,-0.30,0.66,-0.01,33.62,953.21,24.06,-5.05,5028.00,33.00,0.00,26.00,24.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.438813,-0.02,-0.05,9.90,0.04,-0.00,0.01,39.68,10.76,-23.02,0.05,-0.04,9.67,-0.03,-0.11,0.01,26.85,-32.07,-12.30,-0.30,0.67,-0.01,33.62,953.21,24.06,-5.05,5028.00,33.00,0.00,24.00,22.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.472485,-0.06,-0.07,9.94,0.04,0.00,0.01,39.68,10.76,-23.02,-0.01,-0.02,9.65,-0.03,-0.11,0.00,26.51,-31.73,-12.24,-0.31,0.67,-0.01,33.62,953.21,24.06,0.00,5034.00,33.00,0.00,24.00,16.00,26.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.506165,-0.10,-0.12,10.01,0.03,0.00,0.01,39.68,10.76,-23.02,0.04,-0.06,9.67,-0.03,-0.11,0.01,26.56,-32.31,-11.83,-0.31,0.68,-0.01,33.62,953.21,24.06,0.00,5037.00,33.00,0.00,24.00,16.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.537837,-0.16,-0.07,9.85,0.04,0.00,0.01,39.68,10.76,-23.02,0.05,-0.04,9.64,-0.02,-0.12,0.00,27.43,-31.44,-12.18,-0.32,0.69,-0.01,33.62,953.21,24.06,0.00,5037.00,33.00,0.00,26.00,16.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.571602,-0.20,-0.01,10.07,0.04,-0.00,0.01,40.92,10.58,-22.85,0.08,-0.08,9.66,-0.02,-0.10,0.01,26.74,-31.96,-12.30,-0.32,0.69,-0.01,33.62,953.21,24.06,0.00,5040.00,33.00,0.00,26.00,20.00,24.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.605572,-0.16,-0.09,10.02,0.04,0.00,0.01,40.92,10.58,-22.85,0.01,-0.06,9.72,-0.04,-0.10,0.01,27.43,-31.49,-12.18,-0.32,0.69,-0.01,33.62,953.21,24.06,-5.05,5034.00,33.00,0.00,26.00,22.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.639829,-0.14,-0.06,9.96,0.03,0.00,0.01,40.92,10.58,-22.85,0.04,-0.06,9.69,-0.03,-0.11,0.01,27.72,-31.55,-11.48,-0.32,0.70,-0.01,33.62,953.21,24.06,-5.05,5034.00,33.00,0.00,24.00,20.00,20.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.673522,-0.11,-0.09,9.95,0.04,0.00,0.01,42.33,11.99,-23.53,0.06,-0.05,9.63,-0.03,-0.11,0.00,27.14,-31.26,-11.77,-0.32,0.71,-0.01,33.62,953.21,24.06,0.00,5022.00,33.00,0.00,28.00,18.00,22.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.707163,-0.13,-0.10,10.03,0.04,0.00,0.01,42.33,11.99,-23.53,0.03,-0.04,9.69,-0.03,-0.12,0.01,26.74,-31.78,-11.66,-0.33,0.71,-0.01,33.62,953.21,24.06,-5.05,5028.00,33.00,0.00,28.00,20.00,20.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.738991,-0.11,-0.07,9.98,0.04,-0.00,0.01,42.33,11.99,-23.53,0.06,-0.10,9.62,-0.03,-0.11,0.00,26.68,-31.38,-11.60,-0.33,0.72,-0.01,33.62,953.21,24.06,0.00,5028.00,33.00,0.00,28.00,18.00,20.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
1.772693,-0.16,-0.08,10.10,0.04,0.00,0.01,42.33,11.99,-23.53,0.06,-0.04,9.63,-0.03,-0.11,0.00,26.80,-31.44,-11.48,-0.33,0.73,-0.01,33.62,953.21,24.06,-5.05,5037.00,33.00,0.00,30.00,18.00,20.00,-45.92976379,-23.24736977,597.12,0,0,0,0,0,0,0,0,
